max.weight,start.weight,range.weight,start.workers,reproductives,treatment
997,712.95,284.05,13,1,Control
846,719.58,126.42,14,15,Control
1117,704.92,412.08,17,9,Control
813,726.42,86.58,20,0,Control
906,740.6,165.4,28,0,Control
859,727.1,131.9,15,0,Control
1078,690.11,387.89,34,85,Control
1163,736.16,426.84,15,10,Control
941,710.33,230.67,14,17,Control
1344,724.87,619.13,24,133,Control
1049,736.61,312.39,18,30,Control
765,592.01,172.99,10,0,Control
1089,738.15,350.85,18,3,Control
1125,752.93,372.07,19,49,Control
807,721.28,85.72,15,0,Control
1072,740.35,331.65,12,22,Control
814,580.74,233.26,17,13,Control
724,599.83,124.17,31,3,Control
1030,611.68,418.32,20,39,Control
1014,729.36,284.64,19,6,Control
983,731.42,251.58,10,1,Control
1132,626.77,505.23,21,8,Control
1098,726.28,371.72,12,19,Control
1193,715.31,477.69,18,58,Control
720,617.07,102.93,8,2,Control
908,701.34,206.66,20,3,Low
999,735.36,263.64,14,2,Low
733,700.64,32.36,12,0,Low
803,700.58,102.42,16,0,Low
956,731.53,224.47,22,0,Low
996,672.19,323.81,17,9,Low
856,584.9,271.1,26,1,Low
933,747.32,185.68,20,10,Low
1022,734.32,287.68,17,3,Low
856,719.18,136.82,18,2,Low
1034,719.45,314.55,21,5,Low
934,699.2,234.8,17,0,Low
1055,729.2,325.8,15,20,Low
1161,729.3,431.7,15,6,Low
1101,749.25,351.75,11,9,Low
793,604.22,188.78,13,0,Low
922,592.19,329.81,7,35,Low
975,736.48,238.52,15,0,Low
890,717.59,172.41,11,0,Low
992,728.07,263.93,13,10,Low
708,577.98,130.02,17,14,Low
1027,751.91,275.09,6,26,Low
789,598.76,190.24,16,11,Low
760,716.07,43.93,9,1,Low
644.54,620.99,23.55,10,0,Low
1059,706.36,352.64,19,16,High
897,710.48,186.52,25,22,High
1045,682.32,362.68,30,42,High
977,740.09,236.91,13,17,High
833,703.75,129.25,17,11,High
928,718.15,209.85,15,22,High
841,739.73,101.27,6,18,High
796,708.15,87.85,17,8,High
743,592.9,150.1,15,1,High
699,529.67,169.33,18,4,High
747,614.07,132.93,5,11,High
1001,711.92,289.08,17,7,High
967,718.44,248.56,9,1,High
805,769.73,35.27,8,0,High
825,719.85,105.15,10,0,High
918,721.58,196.42,15,14,High
785.37,753.6,31.77,6,0,High
983,721.7,261.3,13,0,High
968,676.99,291.01,16,12,High
931,729.61,201.39,6,6,High
902,713.6,188.4,8,14,High
830,582.09,247.91,10,3,High
869,726.35,142.65,10,9,High
790,581.36,208.64,11,0,High
911,733.47,177.53,19,0,High
